"","204562_at","227846_at","211596_s_at","225912_at","224734_at","220359_s_at","210517_s_at","233180_at","1568611_at","243915_at","207996_s_at","203435_s_at","206255_at","206591_at","209574_s_at","241679_at","227530_at","1556599_s_at","227529_s_at","212382_at","228284_at","211919_s_at","202733_at","1566363_at","209201_x_at","239328_at","219144_at","220588_at","1552652_at","211987_at","204114_at","44790_s_at","219471_at","202908_at","1556383_at","221234_s_at","203434_s_at","220068_at","236099_at","226632_at","231935_at","233359_at","226394_at","242735_x_at","206413_s_at","223608_at","210450_at","1559716_at","1556598_at","1569482_at","target"
"GSM483347",45.151028,35.2143,29.509745,1199.4028,1251.5753,12.167435,18.398275,8.355293,21.970266,16.203392,89.31338,223.01796,14.8252735,13.76742,103.46127,22.043201,38.049362,7.255474,6.8190746,225.18152,33.460663,1429.0426,51.210793,767.3086,1333.8804,279.1601,34.697994,28.428755,141.50194,2126.2134,14.909893,40.583767,84.523964,36.600754,31.235834,11.93389,40.023983,21.351534,21.376162,14.081662,17.230726,54.397896,200.57007,212.11824,32.499603,120.34807,11.398581,36.319683,6.6930084,12.121058,"MDS"
"GSM483348",56.48271,44.82045,18.83652,2290.0798,2028.4253,10.3931055,27.217682,10.120261,14.905326,83.29679,102.3935,191.98077,13.051704,88.55087,352.9143,17.819372,47.694813,21.650503,6.8476276,956.6715,55.682674,1065.7953,17.86179,13584.55,1025.5138,2763.7588,37.4301,34.693016,183.1248,2318.7202,13.599092,38.56398,61.660973,36.222992,28.263329,73.98191,52.49967,36.57045,28.577635,19.795174,24.672846,103.2305,406.23538,360.17087,40.857235,145.06825,10.943902,39.580936,10.248297,33.237225,"MDS"
"GSM483349",32.47035,51.59598,25.322504,791.5093,1313.8506,9.562402,16.866554,10.004992,16.727686,23.571627,64.94632,46.502968,14.930319,15.135824,47.826378,22.494831,53.179203,8.677072,6.224622,373.00586,23.741207,296.86523,22.630558,231.41484,260.94138,522.5768,39.61944,37.733364,89.41957,2145.2952,10.46486,8.245857,34.71551,32.65333,33.807182,18.79925,8.427842,24.831118,14.009821,16.572334,13.771881,101.665825,196.5362,222.52847,34.943863,19.595797,12.026247,46.970993,7.249201,20.130285,"MDS"
"GSM483350",39.665154,47.90576,61.609863,1506.5942,1245.4587,8.808399,23.715134,9.762888,29.11066,20.615376,72.124115,38.854816,13.779327,18.04221,70.307884,23.453047,35.438267,8.597729,7.128526,525.3706,21.004417,273.09283,55.243107,358.97925,273.05325,242.83334,41.891567,44.559628,113.7346,2112.929,12.229172,8.717369,29.850294,30.627459,32.339603,89.091644,7.30846,19.460047,20.457058,17.18146,16.895739,62.901596,179.59706,222.68875,31.350822,27.538694,11.440539,34.269444,6.621543,17.095638,"MDS"
"GSM483351",86.2651,136.35773,241.55928,3772.1853,2810.8528,71.875145,1065.6027,15.948588,91.76591,53.263573,332.669,753.6934,33.660755,774.1804,490.8443,183.7262,903.4489,315.80655,201.07645,1371.5466,123.168205,2155.908,173.94914,14107.199,2016.7689,812.65826,47.165985,57.46785,226.03473,3726.8018,21.327316,188.76706,237.08101,78.01084,27.040304,669.2412,593.4177,952.6824,65.04463,84.67027,640.6623,149.95139,254.31999,236.87186,57.69599,347.4896,140.64815,66.934364,78.32053,31.547947,"MDS"
"GSM483352",72.79236,109.11136,265.7365,3308.6128,2232.0894,47.438637,620.04553,18.769476,90.87767,47.966183,342.0256,562.62885,35.20351,817.7088,326.23645,275.79175,612.2443,177.23836,137.91876,858.48926,191.44891,1107.4594,189.20015,12107.655,1082.9984,662.69196,73.00764,34.82825,304.41312,3301.8264,20.868282,222.01051,247.7194,60.353374,43.887375,326.11887,372.41495,668.30176,82.70475,48.16531,561.05994,92.48268,302.7728,224.3232,52.021484,313.06516,123.55491,91.74276,27.26724,27.243677,"MDS"
"GSM483353",54.90981,35.929295,170.19905,1282.2433,1850.8641,10.236123,40.805027,10.195273,35.402534,35.308296,144.83345,65.02119,15.472942,12.634194,49.08309,20.943596,48.85996,7.9083886,6.76817,488.0062,63.99408,1051.2097,56.541725,5215.38,997.5127,357.31485,37.4382,47.65788,105.2583,2059.128,10.2530985,28.63373,45.53653,46.491253,28.30816,89.56786,9.152403,24.771255,17.715048,26.71498,16.924376,72.51486,265.01016,171.85028,32.98674,80.45954,10.229489,30.840042,6.937008,16.767504,"MDS"
"GSM483354",73.95535,68.68077,133.66327,3476.2468,2447.7212,18.213308,552.7151,11.960574,43.701218,39.344948,244.55394,324.60715,67.775055,347.28964,414.84204,83.13791,477.06424,65.42534,93.804695,715.3354,106.55163,1946.3209,54.046307,10776.579,2034.1691,861.5251,43.66342,34.86088,196.12596,2984.8184,46.946495,58.436726,85.23947,72.19689,36.296143,255.70708,162.98676,446.23526,41.605797,59.13954,232.61432,107.23315,276.53775,241.97752,48.10288,166.75197,60.38818,68.19505,27.13007,20.799616,"MDS"
"GSM483355",98.195915,42.505684,79.13157,536.6753,1301.2277,8.902823,25.637802,10.310881,20.204386,17.716328,143.78333,68.60412,16.907316,16.975965,120.61268,22.37683,38.024696,8.42572,7.582541,282.02075,123.82669,904.3269,23.826878,761.0324,837.5637,250.85323,40.266926,43.83996,112.1479,1606.8276,19.539068,13.536321,32.714558,29.981224,34.825726,42.179256,8.83064,25.21056,22.794193,12.14116,20.124844,56.51318,118.09767,201.09093,32.53826,45.389084,11.199952,34.200382,8.416921,14.80472,"MDS"
"GSM483356",37.022453,38.264484,20.919836,519.9857,1115.7068,9.550697,63.462658,9.687218,15.237582,16.843184,81.6156,85.35934,20.661837,90.786026,86.33341,21.204365,57.418163,8.829048,9.508815,314.63715,22.843506,573.6187,19.709787,2498.5916,593.82367,428.1265,35.645664,44.15379,104.49512,1790.9174,12.976926,9.115882,26.613169,24.991741,23.816593,13.857229,14.181955,87.70961,25.85716,24.84006,18.052942,48.154896,156.33893,192.95839,29.43757,24.226736,15.222222,36.187782,6.6727858,13.695452,"MDS"
"GSM483357",70.536224,97.69492,147.5081,2098.5164,1602.0858,20.82098,518.4423,11.819231,37.855892,21.845581,266.33093,419.21402,46.555775,607.3234,213.91356,83.41389,328.52466,48.56604,47.9679,726.0053,104.217,1451.8223,59.42998,7588.6294,1316.7883,872.8959,41.477123,38.669098,175.83284,2945.5095,24.086214,112.04245,166.41002,47.534416,27.446592,203.46628,183.455,526.69696,45.353157,49.29575,199.95319,83.7089,173.018,256.61157,49.079582,32.361732,80.37273,45.78489,11.552353,24.55359,"MDS"
"GSM483358",40.47928,43.644585,60.61485,2103.8896,1341.3007,8.6924,30.300993,9.3788595,16.412527,41.670326,260.036,101.93353,18.209044,15.843793,160.28506,20.677837,39.56813,7.060546,6.0369115,380.44238,103.48372,735.3493,19.60993,197.51552,693.6387,347.10175,36.60865,28.428755,105.18626,1770.9652,11.948301,150.18788,195.5827,33.16784,29.845448,50.445446,22.782698,21.478052,38.9515,25.05485,21.567602,38.638443,201.30833,147.38084,31.821894,94.26529,9.936033,34.70675,6.3199687,15.609824,"MDS"
"GSM483359",40.57272,63.178658,70.995,668.1813,1768.2861,12.872636,98.72085,11.045292,22.741703,15.53522,130.56062,75.26149,16.912193,49.874466,178.16646,29.105421,110.20955,14.473042,13.368857,287.83005,105.106735,1600.5282,34.81695,1831.9598,1559.6069,498.12958,37.078495,37.070503,130.13324,2213.9124,23.347252,22.447422,35.494473,38.110382,35.001816,45.607086,15.7448015,46.81223,21.658304,14.989326,34.72238,67.3382,204.00954,258.1134,42.296436,59.243977,10.366,43.20812,7.3985224,16.476505,"MDS"
"GSM483360",45.41202,39.819775,27.53373,664.14996,1311.6747,10.257534,51.682457,10.410152,17.87016,11.936904,133.82718,96.64136,14.781009,14.615542,142.1711,20.336548,50.37648,8.473051,8.506536,523.9718,29.468334,863.016,29.178898,272.72897,828.3523,95.692055,27.625149,24.911753,127.5711,1988.5603,15.767784,57.52441,78.94659,31.641262,30.501944,21.6349,17.95533,33.149933,18.806026,15.559299,23.692081,85.76926,194.05974,178.64209,35.03461,89.46785,9.218412,44.362633,6.1959844,18.776915,"MDS"
"GSM483361",30.909,42.23249,123.95158,439.72464,1405.2032,9.109151,32.4721,11.35268,23.580969,22.978876,150.5792,49.468292,13.8539915,18.476315,174.15613,20.039846,34.51477,7.7831836,8.82555,622.6534,88.519005,260.7302,29.300022,2295.6152,263.43,355.40182,26.699583,29.230457,144.59352,2170.5574,15.426471,42.84659,81.49373,33.802315,24.537674,32.209377,11.582151,22.811445,13.343838,15.72213,16.676239,87.12699,137.42287,156.04631,31.545675,67.81042,11.108338,33.03073,7.824507,20.017475,"MDS"
"GSM483362",31.00269,39.819782,18.399254,1089.1409,953.1967,9.60106,27.364166,8.767875,17.875301,26.991648,109.19,47.150715,10.519292,26.784369,134.95026,26.887802,43.138935,6.4748282,6.2147613,1122.8446,48.321716,356.3253,23.164198,5207.686,329.97125,275.09695,29.524643,31.335026,108.81302,2422.5474,12.06595,47.20383,70.92476,23.448814,23.3746,22.376823,9.361814,29.56617,39.63088,12.373408,15.373489,66.58083,156.91438,252.1216,36.066753,39.451374,9.768162,31.63102,6.9585342,18.22249,"MDS"
"GSM483363",31.745176,50.148327,23.280468,527.24756,1581.8995,12.055742,112.59119,10.661396,20.712881,29.047813,202.7202,69.73533,15.549212,32.1578,266.48413,27.067104,113.464516,10.824903,12.856876,972.7271,81.80402,604.4862,40.34533,5448.7153,593.5994,297.34665,32.04503,29.942379,146.70284,2070.88,12.559101,77.42291,109.61558,48.83442,32.26513,59.194954,19.451628,58.14881,23.914597,18.573742,34.756184,68.79959,172.03598,189.81454,32.40141,71.14099,11.326129,44.423405,7.1336617,16.719257,"MDS"
"GSM483364",29.618406,46.03296,42.591507,672.5766,1078.3267,11.710741,20.326664,10.035311,19.284187,25.877666,106.747574,38.676067,14.011084,19.133337,107.93843,17.589773,40.408615,8.780204,6.564544,660.0237,21.477274,188.81207,31.278618,60.31206,178.06386,564.2519,30.609806,27.2928,124.5514,2464.445,13.176651,13.344026,35.810406,23.03689,27.714855,12.86614,8.011036,25.638273,16.232605,12.40912,15.845795,68.49788,147.30644,226.03484,35.461246,50.823013,9.372107,36.562542,8.168983,24.205812,"MDS"
"GSM483365",35.44337,39.072357,15.752161,459.51398,1702.7739,9.165107,25.047174,9.101275,16.414896,27.673958,25.883251,47.239136,15.427861,16.167242,79.32,33.495647,38.45311,10.834461,6.9140577,784.7807,36.891975,848.7113,27.308521,4344.3057,860.7186,907.10126,35.06996,28.935022,177.89719,1711.138,11.357591,9.882312,34.27315,34.468777,23.502945,13.012967,9.07051,34.75556,26.036621,15.57332,20.243364,184.44897,315.261,275.3648,35.307014,51.425213,10.351816,34.91743,7.680406,62.910683,"MDS"
"GSM483366",32.564056,36.24127,27.676926,1158.8003,1039.1986,9.828525,21.738417,8.3102665,16.107948,37.030453,181.18268,44.825314,13.700138,14.803919,196.63518,15.973315,36.19823,8.551704,7.0058193,763.25653,26.38122,133.86087,21.00593,213.2597,122.14317,508.09772,24.569508,33.644386,115.98534,2367.1638,19.317215,12.866376,30.269901,28.048315,23.050175,144.86475,8.976086,28.413393,30.32665,12.625552,16.262743,64.54746,131.462,159.90451,29.137943,79.30563,11.046089,34.2534,6.9967384,15.746506,"MDS"
"GSM483367",27.357761,46.91859,12.906052,176.39119,1201.738,10.514177,27.132515,10.393665,21.284718,22.977222,28.414417,52.946003,26.290632,22.648094,49.139683,17.625296,48.110714,7.9980607,6.720552,907.13416,28.050322,123.59946,31.745169,3272.1064,111.52946,220.57301,31.874651,30.256813,148.33958,1875.0924,10.242578,20.671844,34.530933,31.890743,25.926182,11.157262,9.70468,88.00714,23.442062,24.082304,18.913025,75.82748,155.18866,231.27321,32.09935,126.34544,10.723023,31.616213,6.345518,16.1754,"MDS"
"GSM483368",34.618122,38.812836,25.35353,1456.0125,1793.6915,9.025531,84.16698,13.148207,16.15211,20.258327,183.85196,32.609848,14.118496,16.037018,173.30486,19.253643,64.010254,7.368204,10.235386,599.36865,44.78816,126.02726,15.675183,657.74493,148.11523,351.55652,28.617794,24.663517,161.29282,1973.4333,11.270979,149.08585,165.06659,41.241703,29.74242,21.47959,9.217749,20.12159,19.590874,14.87903,20.229513,100.819695,309.67807,173.018,32.41425,106.50937,8.826823,43.339066,7.5536423,26.270283,"MDS"
"GSM483369",24.782862,39.36056,11.426528,1499.8793,2088.7847,10.502442,27.705374,10.971533,18.055218,13.682138,186.68845,30.394476,15.842373,19.257462,166.18823,15.211806,33.228855,7.353354,7.0901113,445.81732,21.106052,143.68504,15.428689,57.75217,145.34563,424.24255,39.81403,30.381332,168.28484,2400.0505,10.390861,7.684458,17.189507,25.677088,24.172699,10.146542,8.981746,21.174599,31.134731,18.619299,15.41786,124.59179,269.1084,235.17143,35.305737,65.706375,10.465052,42.722134,7.8442616,34.685505,"MDS"
"GSM483370",30.998209,43.9206,23.919752,1184.5463,1512.3568,9.886049,14.210335,9.345133,17.05873,19.995138,115.285614,46.984566,12.183447,14.020922,118.36592,19.01173,38.172237,8.250314,7.418273,393.7299,50.180847,133.5672,17.676802,40.08024,120.45003,1832.3547,28.340805,27.06565,252.16718,2523.9226,13.255449,6.8811665,24.056297,22.757257,23.45896,11.600723,7.4466543,27.615206,20.663698,19.43342,21.480751,135.25201,198.40698,272.99442,28.930855,53.21748,11.141201,34.43528,6.8976383,52.38631,"MDS"
